N_Ph (cm⁻³)	ρ (Ω cm)
6.668068E+13	6.656784E+01
6.918310E+13	6.416951E+01
7.177943E+13	6.185783E+01
7.447320E+13	5.962967E+01
7.726806E+13	5.748201E+01
8.016781E+13	5.541193E+01
8.317638E+13	5.341663E+01
8.629785E+13	5.149341E+01
8.953648E+13	4.963966E+01
9.289664E+13	4.785287E+01
9.638290E+13	4.613061E+01
1.000000E+14	4.447057E+01
1.037528E+14	4.287047E+01
1.076465E+14	4.132817E+01
1.116863E+14	3.984156E+01
1.158777E+14	3.840864E+01
1.202264E+14	3.702746E+01
1.247384E+14	3.569616E+01
1.294196E+14	3.441293E+01
1.342765E+14	3.317603E+01
1.393157E+14	3.198378E+01
1.445440E+14	3.083458E+01
1.499685E+14	2.972687E+01
1.555966E+14	2.865914E+01
1.614359E+14	2.762995E+01
1.674943E+14	2.663792E+01
1.737801E+14	2.568168E+01
1.803018E+14	2.475996E+01
1.870682E+14	2.387151E+01
1.940886E+14	2.301511E+01
2.013724E+14	2.218962E+01
2.089296E+14	2.139391E+01
2.167704E+14	2.062691E+01
2.249055E+14	1.988758E+01
2.333458E+14	1.917492E+01
2.421029E+14	1.848797E+01
2.511886E+14	1.782580E+01
2.606154E+14	1.718751E+01
2.703958E+14	1.657224E+01
2.805434E+14	1.597916E+01
2.910717E+14	1.540746E+01
3.019952E+14	1.485638E+01
3.133286E+14	1.432516E+01
3.250873E+14	1.381309E+01
3.372873E+14	1.331948E+01
3.499452E+14	1.284366E+01
3.630781E+14	1.238499E+01
3.767038E+14	1.194285E+01
3.908409E+14	1.151664E+01
4.055085E+14	1.110579E+01
4.207266E+14	1.070974E+01
4.365158E+14	1.032795E+01
4.528976E+14	9.959911E+00
4.698941E+14	9.605128E+00
4.875285E+14	9.263121E+00
5.058247E+14	8.933427E+00
5.248075E+14	8.615602E+00
5.445027E+14	8.309218E+00
5.649370E+14	8.013860E+00
5.861382E+14	7.729131E+00
6.081350E+14	7.454647E+00
6.309573E+14	7.190038E+00
6.546362E+14	6.934947E+00
6.792036E+14	6.689031E+00
7.046931E+14	6.451957E+00
7.311391E+14	6.223408E+00
7.585776E+14	6.003075E+00
7.870458E+14	5.790661E+00
8.165824E+14	5.585881E+00
8.472274E+14	5.388458E+00
8.790225E+14	5.198128E+00
9.120108E+14	5.014634E+00
9.462372E+14	4.837730E+00
9.817479E+14	4.667177E+00
1.018591E+15	4.502747E+00
1.056818E+15	4.344218E+00
1.096478E+15	4.191378E+00
1.137627E+15	4.044020E+00
1.180321E+15	3.901948E+00
1.224616E+15	3.764971E+00
1.270574E+15	3.632905E+00
1.318257E+15	3.505572E+00
1.367729E+15	3.382802E+00
1.419058E+15	3.264430E+00
1.472313E+15	3.150298E+00
1.527566E+15	3.040253E+00
1.584893E+15	2.934146E+00
1.644372E+15	2.831838E+00
1.706082E+15	2.733189E+00
1.770109E+15	2.638069E+00
1.836538E+15	2.546350E+00
1.905461E+15	2.457910E+00
1.976970E+15	2.372629E+00
2.051162E+15	2.290396E+00
2.128139E+15	2.211099E+00
2.208005E+15	2.134633E+00
2.290868E+15	2.060895E+00
2.376840E+15	1.989788E+00
2.466039E+15	1.921217E+00
2.558586E+15	1.855090E+00
2.654606E+15	1.791320E+00
2.754229E+15	1.729821E+00
2.857591E+15	1.670512E+00
2.964831E+15	1.613313E+00
3.076097E+15	1.558150E+00
3.191538E+15	1.504948E+00
3.311311E+15	1.453637E+00
3.435579E+15	1.404149E+00
3.564511E+15	1.356418E+00
3.698282E+15	1.310381E+00
3.837072E+15	1.265978E+00
3.981072E+15	1.223149E+00
4.130475E+15	1.181838E+00
4.285485E+15	1.141990E+00
4.446313E+15	1.103552E+00
4.613176E+15	1.066475E+00
4.786301E+15	1.030709E+00
4.965923E+15	9.962060E-01
5.152286E+15	9.629221E-01
5.345644E+15	9.308129E-01
5.546257E+15	8.998362E-01
5.754399E+15	8.699514E-01
5.970353E+15	8.411193E-01
6.194411E+15	8.133021E-01
6.426877E+15	7.864633E-01
6.668068E+15	7.605679E-01
6.918310E+15	7.355819E-01
7.177943E+15	7.114729E-01
7.447320E+15	6.882094E-01
7.726806E+15	6.657610E-01
8.016781E+15	6.440985E-01
8.317638E+15	6.231938E-01
8.629785E+15	6.030197E-01
8.953648E+15	5.835501E-01
9.289664E+15	5.647597E-01
9.638290E+15	5.466242E-01
1.000000E+16	5.291202E-01
1.037528E+16	5.122250E-01
1.076465E+16	4.959170E-01
1.116863E+16	4.801750E-01
1.158777E+16	4.649790E-01
1.202264E+16	4.503093E-01
1.247384E+16	4.361471E-01
1.294196E+16	4.224744E-01
1.342765E+16	4.092737E-01
1.393157E+16	3.965280E-01
1.445440E+16	3.842213E-01
1.499685E+16	3.723378E-01
1.555966E+16	3.608624E-01
1.614359E+16	3.497806E-01
1.674943E+16	3.390783E-01
1.737801E+16	3.287422E-01
1.803018E+16	3.187590E-01
1.870682E+16	3.091163E-01
1.940886E+16	2.998020E-01
2.013724E+16	2.908043E-01
2.089296E+16	2.821121E-01
2.167704E+16	2.737144E-01
2.249055E+16	2.656009E-01
2.333458E+16	2.577614E-01
2.421029E+16	2.501862E-01
2.511886E+16	2.428660E-01
2.606154E+16	2.357917E-01
2.703958E+16	2.289546E-01
2.805434E+16	2.223463E-01
2.910717E+16	2.159587E-01
3.019952E+16	2.097840E-01
3.133286E+16	2.038147E-01
3.250873E+16	1.980436E-01
3.372873E+16	1.924636E-01
3.499452E+16	1.870680E-01
3.630781E+16	1.818504E-01
3.767038E+16	1.768043E-01
3.908409E+16	1.719239E-01
4.055085E+16	1.672032E-01
4.207266E+16	1.626367E-01
4.365158E+16	1.582189E-01
4.528976E+16	1.539447E-01
4.698941E+16	1.498090E-01
4.875285E+16	1.458069E-01
5.058247E+16	1.419337E-01
5.248075E+16	1.381850E-01
5.445027E+16	1.345565E-01
5.649370E+16	1.310438E-01
5.861382E+16	1.276430E-01
6.081350E+16	1.243501E-01
6.309573E+16	1.211615E-01
6.546362E+16	1.180734E-01
6.792036E+16	1.150824E-01
7.046931E+16	1.121852E-01
7.311391E+16	1.093784E-01
7.585776E+16	1.066589E-01
7.870458E+16	1.040237E-01
8.165824E+16	1.014700E-01
8.472274E+16	9.899479E-02
8.790225E+16	9.659549E-02
9.120108E+16	9.426944E-02
9.462372E+16	9.201414E-02
9.817479E+16	8.982715E-02
1.018591E+17	8.770612E-02
1.056818E+17	8.564881E-02
1.096478E+17	8.365301E-02
1.137627E+17	8.171664E-02
1.180321E+17	7.983767E-02
1.224616E+17	7.801413E-02
1.270574E+17	7.624415E-02
1.318257E+17	7.452590E-02
1.367729E+17	7.285763E-02
1.419058E+17	7.123764E-02
1.472313E+17	6.966454E-02
1.527566E+17	6.813629E-02
1.584893E+17	6.665160E-02
1.644372E+17	6.520899E-02
1.706082E+17	6.380706E-02
1.770109E+17	6.244443E-02
1.836538E+17	6.111979E-02
1.905461E+17	5.983187E-02
1.976970E+17	5.857943E-02
2.051162E+17	5.736130E-02
2.128139E+17	5.617633E-02
2.208005E+17	5.502341E-02
2.290868E+17	5.390149E-02
2.376840E+17	5.280952E-02
2.466039E+17	5.174651E-02
2.558586E+17	5.071151E-02
2.654606E+17	4.970358E-02
2.754229E+17	4.872183E-02
2.857591E+17	4.776539E-02
2.964831E+17	4.683342E-02
3.076097E+17	4.592511E-02
3.191538E+17	4.503968E-02
3.311311E+17	4.417636E-02
3.435579E+17	4.333443E-02
3.564511E+17	4.251318E-02
3.698282E+17	4.171190E-02
3.837072E+17	4.092995E-02
3.981072E+17	4.016667E-02
4.130475E+17	3.942143E-02
4.285485E+17	3.869362E-02
4.446313E+17	3.798267E-02
4.613176E+17	3.728798E-02
4.786301E+17	3.660901E-02
4.965923E+17	3.594493E-02
5.152286E+17	3.529576E-02
5.345644E+17	3.466073E-02
5.546257E+17	3.403933E-02
5.754399E+17	3.343109E-02
5.970353E+17	3.283552E-02
6.194411E+17	3.225217E-02
6.426877E+17	3.168058E-02
6.668068E+17	3.112032E-02
6.918310E+17	3.057096E-02
7.177943E+17	3.003209E-02
7.447320E+17	2.950328E-02
7.726806E+17	2.898416E-02
8.016781E+17	2.847432E-02
8.317638E+17	2.797339E-02
8.629785E+17	2.748100E-02
8.953648E+17	2.699679E-02
9.289664E+17	2.652041E-02
9.638290E+17	2.605153E-02
1.000000E+18	2.558981E-02
1.037528E+18	2.513494E-02
1.076465E+18	2.468662E-02
1.116863E+18	2.424454E-02
1.158777E+18	2.380842E-02
1.202264E+18	2.337801E-02
1.247384E+18	2.295333E-02
1.294196E+18	2.253358E-02
1.342765E+18	2.211882E-02
1.393157E+18	2.170883E-02
1.445440E+18	2.130343E-02
1.499685E+18	2.090245E-02
1.555966E+18	2.050573E-02
1.614359E+18	2.011313E-02
1.674943E+18	1.972454E-02
1.737801E+18	1.933986E-02
1.803018E+18	1.895901E-02
1.870682E+18	1.858194E-02
1.940886E+18	1.820859E-02
2.013724E+18	1.783894E-02
2.089296E+18	1.747299E-02
2.167704E+18	1.711073E-02
2.249055E+18	1.675220E-02
2.333458E+18	1.639740E-02
2.421029E+18	1.604640E-02
2.511886E+18	1.569923E-02
2.606154E+18	1.535595E-02
2.703958E+18	1.501661E-02
2.805434E+18	1.468129E-02
2.910717E+18	1.435003E-02
3.019952E+18	1.402291E-02
3.133286E+18	1.369981E-02
3.250873E+18	1.338114E-02
3.372873E+18	1.306677E-02
3.499452E+18	1.275675E-02
3.630781E+18	1.245112E-02
3.767038E+18	1.214991E-02
3.908409E+18	1.185317E-02
4.055085E+18	1.156092E-02
4.207266E+18	1.127318E-02
4.365158E+18	1.098999E-02
4.528976E+18	1.071136E-02
4.698941E+18	1.043732E-02
4.875285E+18	1.016788E-02
5.058247E+18	9.903063E-03
5.248075E+18	9.642889E-03
5.445027E+18	9.387379E-03
5.649370E+18	9.136554E-03
5.861382E+18	8.890435E-03
6.081350E+18	8.649044E-03
6.309573E+18	8.412466E-03
6.546362E+18	8.180581E-03
6.792036E+18	7.953486E-03
7.046931E+18	7.731194E-03
7.311391E+18	7.513719E-03
7.585776E+18	7.301066E-03
7.870458E+18	7.093239E-03
8.165824E+18	6.890232E-03
8.472274E+18	6.692036E-03
8.790225E+18	6.498633E-03
9.120108E+18	6.309997E-03
9.462372E+18	6.126096E-03
9.817479E+18	5.946891E-03
1.018591E+19	5.772333E-03
1.056818E+19	5.602368E-03
1.096478E+19	5.436935E-03
1.137627E+19	5.275966E-03
1.180321E+19	5.119373E-03
1.224616E+19	4.967114E-03
1.270574E+19	4.819085E-03
1.318257E+19	4.675202E-03
1.367729E+19	4.535375E-03
1.419058E+19	4.399513E-03
1.472313E+19	4.267524E-03
1.527566E+19	4.139314E-03
1.584893E+19	4.014789E-03
1.644372E+19	3.893854E-03
1.706082E+19	3.776416E-03
1.770109E+19	3.662381E-03
1.836538E+19	3.551657E-03
1.905461E+19	3.444153E-03
1.976970E+19	3.339780E-03
2.051162E+19	3.238452E-03
2.128139E+19	3.140082E-03
2.208005E+19	3.044588E-03
2.290868E+19	2.951888E-03
2.376840E+19	2.861904E-03
2.466039E+19	2.774559E-03
2.558586E+19	2.689779E-03
2.654606E+19	2.607492E-03
2.754229E+19	2.527627E-03
2.857591E+19	2.450118E-03
2.964831E+19	2.374898E-03
3.076097E+19	2.301905E-03
3.191538E+19	2.231077E-03
3.311311E+19	2.162354E-03
3.435579E+19	2.095679E-03
3.564511E+19	2.030997E-03
3.698282E+19	1.968253E-03
3.837072E+19	1.907395E-03
3.981072E+19	1.848373E-03
4.130475E+19	1.791137E-03
4.285485E+19	1.735640E-03
4.446313E+19	1.681837E-03
4.613176E+19	1.629682E-03
4.786301E+19	1.579132E-03
4.965923E+19	1.530145E-03
5.152286E+19	1.482680E-03
5.345644E+19	1.436699E-03
5.546257E+19	1.392161E-03
5.754399E+19	1.349031E-03
5.970353E+19	1.307271E-03
6.194411E+19	1.266847E-03
6.426877E+19	1.227724E-03
6.668068E+19	1.189869E-03
6.918310E+19	1.153250E-03
7.177943E+19	1.117834E-03
7.447320E+19	1.083593E-03
7.726806E+19	1.050495E-03
8.016781E+19	1.018512E-03
8.317638E+19	9.876156E-04
8.629785E+19	9.577789E-04
8.953648E+19	9.289751E-04
9.289664E+19	9.011783E-04
9.638290E+19	8.743633E-04
1.000000E+20	8.485058E-04
