ρ (cm⁻³)	Ec0 (eV)	Ev0 (eV)
1.318257E+13	3.774505E-01	-7.526969E-01
1.367729E+13	3.764981E-01	-7.536463E-01
1.419058E+13	3.755457E-01	-7.545956E-01
1.472313E+13	3.745933E-01	-7.555449E-01
1.527566E+13	3.736408E-01	-7.564941E-01
1.584893E+13	3.726884E-01	-7.574433E-01
1.644372E+13	3.717360E-01	-7.583923E-01
1.706082E+13	3.707836E-01	-7.593414E-01
1.770109E+13	3.698312E-01	-7.602903E-01
1.836538E+13	3.688788E-01	-7.612392E-01
1.905461E+13	3.679264E-01	-7.621881E-01
1.976970E+13	3.669739E-01	-7.631368E-01
2.051162E+13	3.660215E-01	-7.640855E-01
2.128139E+13	3.650691E-01	-7.650342E-01
2.208005E+13	3.641167E-01	-7.659827E-01
2.290868E+13	3.631643E-01	-7.669312E-01
2.376840E+13	3.622119E-01	-7.678797E-01
2.466039E+13	3.612595E-01	-7.688280E-01
2.558586E+13	3.603070E-01	-7.697763E-01
2.654606E+13	3.593546E-01	-7.707245E-01
2.754229E+13	3.584022E-01	-7.716726E-01
2.857591E+13	3.574498E-01	-7.726206E-01
2.964831E+13	3.564974E-01	-7.735686E-01
3.076097E+13	3.555450E-01	-7.745164E-01
3.191538E+13	3.545926E-01	-7.754642E-01
3.311311E+13	3.536402E-01	-7.764119E-01
3.435579E+13	3.526878E-01	-7.773595E-01
3.564511E+13	3.517353E-01	-7.783070E-01
3.698282E+13	3.507829E-01	-7.792545E-01
3.837072E+13	3.498305E-01	-7.802018E-01
3.981072E+13	3.488781E-01	-7.811491E-01
4.130475E+13	3.479257E-01	-7.820962E-01
4.285485E+13	3.469733E-01	-7.830433E-01
4.446313E+13	3.460209E-01	-7.839902E-01
4.613176E+13	3.450685E-01	-7.849371E-01
4.786301E+13	3.441161E-01	-7.858838E-01
4.965923E+13	3.431637E-01	-7.868305E-01
5.152286E+13	3.422113E-01	-7.877770E-01
5.345644E+13	3.412589E-01	-7.887234E-01
5.546257E+13	3.403065E-01	-7.896698E-01
5.754399E+13	3.393541E-01	-7.906160E-01
5.970353E+13	3.384017E-01	-7.915620E-01
6.194411E+13	3.374493E-01	-7.925080E-01
6.426877E+13	3.364969E-01	-7.934539E-01
6.668068E+13	3.355445E-01	-7.943996E-01
6.918310E+13	3.345921E-01	-7.953452E-01
7.177943E+13	3.336397E-01	-7.962907E-01
7.447320E+13	3.326873E-01	-7.972361E-01
7.726806E+13	3.317349E-01	-7.981813E-01
8.016781E+13	3.307825E-01	-7.991264E-01
8.317638E+13	3.298301E-01	-8.000713E-01
8.629785E+13	3.288777E-01	-8.010162E-01
8.953648E+13	3.279253E-01	-8.019608E-01
9.289664E+13	3.269729E-01	-8.029054E-01
9.638290E+13	3.260205E-01	-8.038498E-01
1.000000E+14	3.250682E-01	-8.047940E-01
1.037528E+14	3.241158E-01	-8.057381E-01
1.076465E+14	3.231634E-01	-8.066820E-01
1.116863E+14	3.222110E-01	-8.076258E-01
1.158777E+14	3.212586E-01	-8.085694E-01
1.202264E+14	3.203063E-01	-8.095129E-01
1.247384E+14	3.193539E-01	-8.104562E-01
1.294196E+14	3.184015E-01	-8.113993E-01
1.342765E+14	3.174491E-01	-8.123423E-01
1.393157E+14	3.164968E-01	-8.132850E-01
1.445440E+14	3.155444E-01	-8.142276E-01
1.499685E+14	3.145920E-01	-8.151701E-01
1.555966E+14	3.136397E-01	-8.161123E-01
1.614359E+14	3.126873E-01	-8.170544E-01
1.674943E+14	3.117349E-01	-8.179962E-01
1.737801E+14	3.107826E-01	-8.189379E-01
1.803018E+14	3.098302E-01	-8.198793E-01
1.870682E+14	3.088779E-01	-8.208206E-01
1.940886E+14	3.079255E-01	-8.217617E-01
2.013724E+14	3.069732E-01	-8.227025E-01
2.089296E+14	3.060208E-01	-8.236432E-01
2.167704E+14	3.050685E-01	-8.245836E-01
2.249055E+14	3.041161E-01	-8.255238E-01
2.333458E+14	3.031638E-01	-8.264638E-01
2.421029E+14	3.022115E-01	-8.274035E-01
2.511886E+14	3.012591E-01	-8.283430E-01
2.606154E+14	3.003068E-01	-8.292823E-01
2.703958E+14	2.993545E-01	-8.302213E-01
2.805434E+14	2.984021E-01	-8.311601E-01
2.910717E+14	2.974498E-01	-8.320987E-01
3.019952E+14	2.964975E-01	-8.330370E-01
3.133286E+14	2.955452E-01	-8.339750E-01
3.250873E+14	2.945929E-01	-8.349128E-01
3.372873E+14	2.936406E-01	-8.358503E-01
3.499452E+14	2.926883E-01	-8.367875E-01
3.630781E+14	2.917360E-01	-8.377244E-01
3.767038E+14	2.907837E-01	-8.386611E-01
3.908409E+14	2.898315E-01	-8.395974E-01
4.055085E+14	2.888792E-01	-8.405335E-01
4.207266E+14	2.879269E-01	-8.414693E-01
4.365158E+14	2.869747E-01	-8.424048E-01
4.528976E+14	2.860224E-01	-8.433399E-01
4.698941E+14	2.850701E-01	-8.442748E-01
4.875285E+14	2.841179E-01	-8.452093E-01
5.058247E+14	2.831657E-01	-8.461435E-01
5.248075E+14	2.822134E-01	-8.470774E-01
5.445027E+14	2.812612E-01	-8.480109E-01
5.649370E+14	2.803090E-01	-8.489441E-01
5.861382E+14	2.793568E-01	-8.498769E-01
6.081350E+14	2.784046E-01	-8.508094E-01
6.309573E+14	2.774524E-01	-8.517415E-01
6.546362E+14	2.765002E-01	-8.526732E-01
6.792036E+14	2.755480E-01	-8.536046E-01
7.046931E+14	2.745959E-01	-8.545356E-01
7.311391E+14	2.736437E-01	-8.554661E-01
7.585776E+14	2.726916E-01	-8.563963E-01
7.870458E+14	2.717394E-01	-8.573261E-01
8.165824E+14	2.707873E-01	-8.582555E-01
8.472274E+14	2.698352E-01	-8.591844E-01
8.790225E+14	2.688831E-01	-8.601130E-01
9.120108E+14	2.679310E-01	-8.610411E-01
9.462372E+14	2.669789E-01	-8.619687E-01
9.817479E+14	2.660268E-01	-8.628959E-01
1.018591E+15	2.650748E-01	-8.638227E-01
1.056818E+15	2.641228E-01	-8.647489E-01
1.096478E+15	2.631707E-01	-8.656747E-01
1.137627E+15	2.622187E-01	-8.666000E-01
1.180321E+15	2.612667E-01	-8.675249E-01
1.224616E+15	2.603148E-01	-8.684492E-01
1.270574E+15	2.593628E-01	-8.693730E-01
1.318257E+15	2.584109E-01	-8.702963E-01
1.367729E+15	2.574589E-01	-8.712191E-01
1.419058E+15	2.565070E-01	-8.721413E-01
1.472313E+15	2.555551E-01	-8.730630E-01
1.527566E+15	2.546033E-01	-8.739842E-01
1.584893E+15	2.536514E-01	-8.749047E-01
1.644372E+15	2.526996E-01	-8.758247E-01
1.706082E+15	2.517478E-01	-8.767442E-01
1.770109E+15	2.507960E-01	-8.776630E-01
1.836538E+15	2.498443E-01	-8.785812E-01
1.905461E+15	2.488925E-01	-8.794988E-01
1.976970E+15	2.479408E-01	-8.804158E-01
2.051162E+15	2.469892E-01	-8.813321E-01
2.128139E+15	2.460375E-01	-8.822478E-01
2.208005E+15	2.450859E-01	-8.831628E-01
2.290868E+15	2.441343E-01	-8.840772E-01
2.376840E+15	2.431827E-01	-8.849908E-01
2.466039E+15	2.422312E-01	-8.859038E-01
2.558586E+15	2.412797E-01	-8.868161E-01
2.654606E+15	2.403283E-01	-8.877276E-01
2.754229E+15	2.393768E-01	-8.886384E-01
2.857591E+15	2.384255E-01	-8.895485E-01
2.964831E+15	2.374741E-01	-8.904578E-01
3.076097E+15	2.365228E-01	-8.913664E-01
3.191538E+15	2.355716E-01	-8.922741E-01
3.311311E+15	2.346203E-01	-8.931811E-01
3.435579E+15	2.336692E-01	-8.940873E-01
3.564511E+15	2.327180E-01	-8.949926E-01
3.698282E+15	2.317669E-01	-8.958971E-01
3.837072E+15	2.308159E-01	-8.968007E-01
3.981072E+15	2.298649E-01	-8.977035E-01
4.130475E+15	2.289140E-01	-8.986054E-01
4.285485E+15	2.279632E-01	-8.995064E-01
4.446313E+15	2.270123E-01	-9.004065E-01
4.613176E+15	2.260616E-01	-9.013056E-01
4.786301E+15	2.251109E-01	-9.022038E-01
4.965923E+15	2.241603E-01	-9.031011E-01
5.152286E+15	2.232097E-01	-9.039974E-01
5.345644E+15	2.222592E-01	-9.048927E-01
5.546257E+15	2.213088E-01	-9.057869E-01
5.754399E+15	2.203585E-01	-9.066802E-01
5.970353E+15	2.194082E-01	-9.075724E-01
6.194411E+15	2.184581E-01	-9.084636E-01
6.426877E+15	2.175080E-01	-9.093537E-01
6.668068E+15	2.165579E-01	-9.102426E-01
6.918310E+15	2.156080E-01	-9.111305E-01
7.177943E+15	2.146582E-01	-9.120172E-01
7.447320E+15	2.137085E-01	-9.129028E-01
7.726806E+15	2.127588E-01	-9.137872E-01
8.016781E+15	2.118093E-01	-9.146705E-01
8.317638E+15	2.108599E-01	-9.155525E-01
8.629785E+15	2.099106E-01	-9.164333E-01
8.953648E+15	2.089614E-01	-9.173128E-01
9.289664E+15	2.080123E-01	-9.181911E-01
9.638290E+15	2.070634E-01	-9.190681E-01
1.000000E+16	2.061146E-01	-9.199438E-01
1.037528E+16	2.051659E-01	-9.208181E-01
1.076465E+16	2.042173E-01	-9.216911E-01
1.116863E+16	2.032689E-01	-9.225627E-01
1.158777E+16	2.023207E-01	-9.234329E-01
1.202264E+16	2.013726E-01	-9.243017E-01
1.247384E+16	2.004246E-01	-9.251691E-01
1.294196E+16	1.994768E-01	-9.260350E-01
1.342765E+16	1.985292E-01	-9.268994E-01
1.393157E+16	1.975818E-01	-9.277623E-01
1.445440E+16	1.966346E-01	-9.286236E-01
1.499685E+16	1.956875E-01	-9.294834E-01
1.555966E+16	1.947407E-01	-9.303416E-01
1.614359E+16	1.937940E-01	-9.311982E-01
1.674943E+16	1.928476E-01	-9.320532E-01
1.737801E+16	1.919014E-01	-9.329065E-01
1.803018E+16	1.909554E-01	-9.337581E-01
1.870682E+16	1.900096E-01	-9.346080E-01
1.940886E+16	1.890641E-01	-9.354561E-01
2.013724E+16	1.881189E-01	-9.363025E-01
2.089296E+16	1.871739E-01	-9.371471E-01
2.167704E+16	1.862292E-01	-9.379899E-01
2.249055E+16	1.852847E-01	-9.388308E-01
2.333458E+16	1.843406E-01	-9.396698E-01
2.421029E+16	1.833967E-01	-9.405069E-01
2.511886E+16	1.824532E-01	-9.413420E-01
2.606154E+16	1.815100E-01	-9.421752E-01
2.703958E+16	1.805671E-01	-9.430064E-01
2.805434E+16	1.796246E-01	-9.438356E-01
2.910717E+16	1.786824E-01	-9.446628E-01
3.019952E+16	1.777406E-01	-9.454878E-01
3.133286E+16	1.767992E-01	-9.463107E-01
3.250873E+16	1.758582E-01	-9.471315E-01
3.372873E+16	1.749176E-01	-9.479501E-01
3.499452E+16	1.739774E-01	-9.487665E-01
3.630781E+16	1.730377E-01	-9.495806E-01
3.767038E+16	1.720984E-01	-9.503924E-01
3.908409E+16	1.711596E-01	-9.512020E-01
4.055085E+16	1.702213E-01	-9.520092E-01
4.207266E+16	1.692834E-01	-9.528140E-01
4.365158E+16	1.683461E-01	-9.536164E-01
4.528976E+16	1.674094E-01	-9.544163E-01
4.698941E+16	1.664731E-01	-9.552138E-01
4.875285E+16	1.655375E-01	-9.560087E-01
5.058247E+16	1.646025E-01	-9.568011E-01
5.248075E+16	1.636680E-01	-9.575909E-01
5.445027E+16	1.627342E-01	-9.583781E-01
5.649370E+16	1.618011E-01	-9.591627E-01
5.861382E+16	1.608686E-01	-9.599445E-01
6.081350E+16	1.599368E-01	-9.607236E-01
6.309573E+16	1.590057E-01	-9.614999E-01
6.546362E+16	1.580754E-01	-9.622735E-01
6.792036E+16	1.571459E-01	-9.630442E-01
7.046931E+16	1.562171E-01	-9.638120E-01
7.311391E+16	1.552891E-01	-9.645769E-01
7.585776E+16	1.543620E-01	-9.653389E-01
7.870458E+16	1.534357E-01	-9.660979E-01
8.165824E+16	1.525104E-01	-9.668539E-01
8.472274E+16	1.515859E-01	-9.676068E-01
8.790225E+16	1.506624E-01	-9.683567E-01
9.120108E+16	1.497398E-01	-9.691034E-01
9.462372E+16	1.488183E-01	-9.698470E-01
9.817479E+16	1.478978E-01	-9.705873E-01
1.018591E+17	1.469783E-01	-9.713245E-01
1.056818E+17	1.460599E-01	-9.720584E-01
1.096478E+17	1.451426E-01	-9.727889E-01
1.137627E+17	1.442265E-01	-9.735162E-01
1.180321E+17	1.433116E-01	-9.742401E-01
1.224616E+17	1.423979E-01	-9.749607E-01
1.270574E+17	1.414852E-01	-9.756780E-01
1.318257E+17	1.405740E-01	-9.763917E-01
1.367729E+17	1.396641E-01	-9.771020E-01
1.419058E+17	1.387554E-01	-9.778087E-01
1.472313E+17	1.378482E-01	-9.785120E-01
1.527566E+17	1.369424E-01	-9.792117E-01
1.584893E+17	1.360379E-01	-9.799079E-01
1.644372E+17	1.351350E-01	-9.806005E-01
1.706082E+17	1.342335E-01	-9.812895E-01
1.770109E+17	1.333335E-01	-9.819749E-01
1.836538E+17	1.324351E-01	-9.826567E-01
1.905461E+17	1.315383E-01	-9.833349E-01
1.976970E+17	1.306431E-01	-9.840095E-01
2.051162E+17	1.297495E-01	-9.846805E-01
2.128139E+17	1.288576E-01	-9.853478E-01
2.208005E+17	1.279674E-01	-9.860116E-01
2.290868E+17	1.270789E-01	-9.866717E-01
2.376840E+17	1.261921E-01	-9.873283E-01
2.466039E+17	1.253071E-01	-9.879813E-01
2.558586E+17	1.244238E-01	-9.886307E-01
2.654606E+17	1.235424E-01	-9.892767E-01
2.754229E+17	1.226627E-01	-9.899191E-01
2.857591E+17	1.217849E-01	-9.905581E-01
2.964831E+17	1.209091E-01	-9.911934E-01
3.076097E+17	1.200350E-01	-9.918255E-01
3.191538E+17	1.191626E-01	-9.924544E-01
3.311311E+17	1.182922E-01	-9.930800E-01
3.435579E+17	1.174235E-01	-9.937024E-01
3.564511E+17	1.165567E-01	-9.943216E-01
3.698282E+17	1.156916E-01	-9.949379E-01
3.837072E+17	1.148283E-01	-9.955511E-01
3.981072E+17	1.139668E-01	-9.961614E-01
4.130475E+17	1.131070E-01	-9.967690E-01
4.285485E+17	1.122488E-01	-9.973738E-01
4.446313E+17	1.113923E-01	-9.979760E-01
4.613176E+17	1.105373E-01	-9.985757E-01
4.786301E+17	1.096838E-01	-9.991731E-01
4.965923E+17	1.088318E-01	-9.997682E-01
5.152286E+17	1.079811E-01	-1.000361E+00
5.345644E+17	1.071316E-01	-1.000952E+00
5.546257E+17	1.062828E-01	-1.001541E+00
5.754399E+17	1.054354E-01	-1.002129E+00
5.970353E+17	1.045889E-01	-1.002714E+00
6.194411E+17	1.037431E-01	-1.003299E+00
6.426877E+17	1.028979E-01	-1.003882E+00
6.668068E+17	1.020531E-01	-1.004463E+00
6.918310E+17	1.012086E-01	-1.005044E+00
7.177943E+17	1.003640E-01	-1.005624E+00
7.447320E+17	9.951933E-02	-1.006203E+00
7.726806E+17	9.867421E-02	-1.006782E+00
8.016781E+17	9.782845E-02	-1.007360E+00
8.317638E+17	9.698178E-02	-1.007939E+00
8.629785E+17	9.613393E-02	-1.008517E+00
8.953648E+17	9.528463E-02	-1.009095E+00
9.289664E+17	9.443357E-02	-1.009674E+00
9.638290E+17	9.358098E-02	-1.010253E+00
1.000000E+18	9.272552E-02	-1.010833E+00
1.037528E+18	9.186734E-02	-1.011413E+00
1.076465E+18	9.100608E-02	-1.011995E+00
1.116863E+18	9.014141E-02	-1.012578E+00
1.158777E+18	8.927295E-02	-1.013162E+00
1.202264E+18	8.840035E-02	-1.013747E+00
1.247384E+18	8.752325E-02	-1.014334E+00
1.294196E+18	8.664128E-02	-1.014923E+00
1.342765E+18	8.575408E-02	-1.015513E+00
1.393157E+18	8.486131E-02	-1.016106E+00
1.445440E+18	8.396263E-02	-1.016700E+00
1.499685E+18	8.305770E-02	-1.017297E+00
1.555966E+18	8.214622E-02	-1.017895E+00
1.614359E+18	8.122790E-02	-1.018496E+00
1.674943E+18	8.030247E-02	-1.019100E+00
1.737801E+18	7.936971E-02	-1.019705E+00
1.803018E+18	7.842940E-02	-1.020312E+00
1.870682E+18	7.748136E-02	-1.020922E+00
1.940886E+18	7.652545E-02	-1.021534E+00
2.013724E+18	7.556156E-02	-1.022148E+00
2.089296E+18	7.458962E-02	-1.022764E+00
2.167704E+18	7.360959E-02	-1.023382E+00
2.249055E+18	7.262146E-02	-1.024002E+00
2.333458E+18	7.162525E-02	-1.024623E+00
2.421029E+18	7.062104E-02	-1.025246E+00
2.511886E+18	6.960889E-02	-1.025871E+00
2.606154E+18	6.858891E-02	-1.026497E+00
2.703958E+18	6.756124E-02	-1.027124E+00
2.805434E+18	6.652602E-02	-1.027752E+00
2.910717E+18	6.548340E-02	-1.028381E+00
3.019952E+18	6.443354E-02	-1.029011E+00
3.133286E+18	6.337660E-02	-1.029641E+00
3.250873E+18	6.231275E-02	-1.030273E+00
3.372873E+18	6.124216E-02	-1.030904E+00
3.499452E+18	6.016497E-02	-1.031537E+00
3.630781E+18	5.908081E-02	-1.032169E+00
3.767038E+18	5.799092E-02	-1.032802E+00
3.908409E+18	5.689485E-02	-1.033436E+00
4.055085E+18	5.579269E-02	-1.034069E+00
4.207266E+18	5.468458E-02	-1.034703E+00
4.365158E+18	5.357062E-02	-1.035337E+00
4.528976E+18	5.245091E-02	-1.035972E+00
4.698941E+18	5.132557E-02	-1.036607E+00
4.875285E+18	5.019469E-02	-1.037242E+00
5.058247E+18	4.905840E-02	-1.037877E+00
5.248075E+18	4.791682E-02	-1.038513E+00
5.445027E+18	4.677010E-02	-1.039149E+00
5.649370E+18	4.561874E-02	-1.039785E+00
5.861382E+18	4.446214E-02	-1.040421E+00
6.081350E+18	4.330093E-02	-1.041058E+00
6.309573E+18	4.213530E-02	-1.041695E+00
6.546362E+18	4.096548E-02	-1.042332E+00
6.792036E+18	3.979170E-02	-1.042969E+00
7.046931E+18	3.861420E-02	-1.043606E+00
7.311391E+18	3.743323E-02	-1.044244E+00
7.585776E+18	3.624906E-02	-1.044881E+00
7.870458E+18	3.506194E-02	-1.045519E+00
8.165824E+18	3.387211E-02	-1.046157E+00
8.472274E+18	3.267963E-02	-1.046794E+00
8.790225E+18	3.148516E-02	-1.047432E+00
9.120108E+18	3.028867E-02	-1.048070E+00
9.462372E+18	2.909033E-02	-1.048709E+00
9.817479E+18	2.789032E-02	-1.049348E+00
1.018591E+19	2.668877E-02	-1.049987E+00
1.056818E+19	2.548579E-02	-1.050627E+00
1.096478E+19	2.428146E-02	-1.051268E+00
1.137627E+19	2.307580E-02	-1.051909E+00
1.180321E+19	2.186883E-02	-1.052552E+00
1.224616E+19	2.066052E-02	-1.053196E+00
1.270574E+19	1.945079E-02	-1.053841E+00
1.318257E+19	1.823956E-02	-1.054489E+00
1.367729E+19	1.702679E-02	-1.055139E+00
1.419058E+19	1.581210E-02	-1.055791E+00
1.472313E+19	1.459542E-02	-1.056445E+00
1.527566E+19	1.337654E-02	-1.057103E+00
1.584893E+19	1.215520E-02	-1.057764E+00
1.644372E+19	1.093114E-02	-1.058428E+00
1.706082E+19	9.704043E-03	-1.059097E+00
1.770109E+19	8.473606E-03	-1.059770E+00
1.836538E+19	7.239488E-03	-1.060447E+00
1.905461E+19	6.001332E-03	-1.061130E+00
1.976970E+19	4.758764E-03	-1.061818E+00
2.051162E+19	3.511395E-03	-1.062511E+00
2.128139E+19	2.258821E-03	-1.063211E+00
2.208005E+19	1.000622E-03	-1.063917E+00
2.290868E+19	-2.636328E-04	-1.064629E+00
2.376840E+19	-1.534387E-03	-1.065349E+00
2.466039E+19	-2.812098E-03	-1.066075E+00
2.558586E+19	-4.097231E-03	-1.066809E+00
2.654606E+19	-5.390267E-03	-1.067550E+00
2.754229E+19	-6.691692E-03	-1.068299E+00
2.857591E+19	-8.002009E-03	-1.069057E+00
2.964831E+19	-9.321744E-03	-1.069821E+00
3.076097E+19	-1.065138E-02	-1.070595E+00
3.191538E+19	-1.199147E-02	-1.071378E+00
3.311311E+19	-1.334256E-02	-1.072169E+00
3.435579E+19	-1.470520E-02	-1.072970E+00
3.564511E+19	-1.607996E-02	-1.073780E+00
3.698282E+19	-1.746741E-02	-1.074599E+00
3.837072E+19	-1.886815E-02	-1.075428E+00
3.981072E+19	-2.028278E-02	-1.076267E+00
4.130475E+19	-2.171191E-02	-1.077116E+00
4.285485E+19	-2.315618E-02	-1.077976E+00
4.446313E+19	-2.461622E-02	-1.078846E+00
4.613176E+19	-2.609270E-02	-1.079727E+00
4.786301E+19	-2.758629E-02	-1.080620E+00
4.965923E+19	-2.909768E-02	-1.081525E+00
5.152286E+19	-3.062758E-02	-1.082442E+00
5.345644E+19	-3.217671E-02	-1.083371E+00
5.546257E+19	-3.374582E-02	-1.084314E+00
5.754399E+19	-3.533566E-02	-1.085270E+00
5.970353E+19	-3.694703E-02	-1.086241E+00
6.194411E+19	-3.858071E-02	-1.087227E+00
6.426877E+19	-4.023754E-02	-1.088228E+00
6.668068E+19	-4.191835E-02	-1.089246E+00
6.918310E+19	-4.362401E-02	-1.090280E+00
7.177943E+19	-4.535540E-02	-1.091333E+00
7.447320E+19	-4.711345E-02	-1.092404E+00
7.726806E+19	-4.889908E-02	-1.093495E+00
8.016781E+19	-5.071326E-02	-1.094605E+00
8.317638E+19	-5.255697E-02	-1.095738E+00
8.629785E+19	-5.443122E-02	-1.096892E+00
8.953648E+19	-5.633704E-02	-1.098070E+00
9.289664E+19	-5.827551E-02	-1.099272E+00
9.638290E+19	-6.024770E-02	-1.100499E+00
1.000000E+20	-6.225472E-02	-1.101753E+00
